Temperature,Vibration,Force
23.11,17.5,0.05
23.15,17.18,0.05
23.15,16.91,0.05
23.15,17.34,0.05
23.17,17.61,0.05
23.27,17.34,0.05
23.29,17.38,0.04
NAN,19.57,0.04
23.41,19.22,0.04
23.45,16.79,0.04
23.53,16.51,0.04
23.57,16.32,0.04
23.57,17.22,0.04
23.69,18.87,0.04
23.65,20.04,0.04
23.39,16.32,0.09
23.29,19.5,0.11
23.29,15.46,0.13
23.29,16.67,0.16
23.27,19.06,0.17
23.21,9.92,0.18
23.23,20.04,0.22
23.21,7.92,0.25
23.17,20.04,0.39
23.15,-1.84,0.42
23.15,20.04,0.59
23.05,20.04,0.61
23.09,-7.73,0.63
23.09,20.04,0.65
23.09,19.26,0.65
23.09,20.04,0.66
23.17,-13.65,0.71
23.17,20.04,0.74
23.27,20.04,0.76
23.21,13.38,0.81
23.23,12.79,0.83
23.17,20.04,1.99
23.27,20.04,2.9
23.27,17.38,2.98
23.23,18.24,3.07
23.27,15.65,3.26
23.27,16.04,3.31
23.29,18.28,3.34
23.27,18.04,3.43
23.27,17.89,3.48
23.29,17.5,3.54
23.23,17.53,3.57
23.33,17.65,3.56
23.33,17.5,3.56
23.23,17.53,3.55
23.27,17.53,3.55
23.17,17.57,3.55
23.21,17.42,3.54
23.23,17.53,3.54
23.15,17.5,3.54
23.15,17.5,3.53
23.15,17.5,3.53
23.11,17.5,3.53
23.21,17.5,3.53
23.09,17.53,3.53
23.15,17.73,3.52
23.15,17.53,3.52
23.15,17.5,3.52
23.11,17.5,3.51
23.09,17.46,3.51
23.15,17.53,3.51
23.11,17.53,3.5
23.15,17.61,3.5
23.11,17.53,3.5
23.11,17.5,3.5
23.11,17.38,3.49
23.11,17.57,3.49
23.11,17.57,3.49
23.09,17.5,3.49
23.15,17.53,3.48
23.15,17.46,3.46
23.17,17.5,3.46
23.15,17.53,3.46
23.17,17.46,3.46
23.09,17.57,3.46
23.15,17.57,3.46
23.15,17.46,3.46
23.23,17.46,3.47
23.17,17.5,3.47
23.27,17.46,3.46
23.35,17.57,3.46
23.39,17.57,3.46
23.39,17.5,3.46
23.35,17.5,3.46
23.35,17.53,3.47
23.33,17.61,3.46
23.33,17.53,3.46
23.23,17.46,0.3
23.17,17.53,0.3
23.17,14.4,0.3
23.29,18.16,0.3
23.27,15.42,0.3
23.23,17.85,0.3
23.27,18.79,0.3
23.17,16.79,0.3
23.17,15.93,0.3
23.29,19.46,0.3
23.27,15.81,0.3
23.21,16.87,0.32
23.15,20.04,0.32
23.29,20.04,0.33
23.45,16.91,0.33
23.41,18.44,0.33
23.39,16.91,0.33
23.45,20.04,0.33
23.45,20.04,0.34
23.51,19.65,0.35
23.45,20.04,0.35
23.45,9.49,0.35
23.47,20.04,0.35
23.35,13.42,0.35
23.17,10.87,0.36
23.21,17.61,0.37
23.15,20.04,0.38
23.11,14.0,0.36
23.09,7.18,0.42
23.21,-2.63,0.45
23.15,20.04,0.45
23.21,12.94,0.45
23.15,-2.94,0.45
23.15,20.04,0.46
23.27,0.47,0.49
23.27,-3.26,0.49
23.27,19.57,0.5
23.29,15.46,0.51
23.29,11.14,0.51
23.21,-7.96,-0.95
23.23,20.04,-0.95
23.29,13.96,-0.95
23.33,7.26,-0.95
23.57,1.45,-0.95
23.57,20.04,-0.95
23.63,20.04,-0.95
23.75,-11.81,-0.95
23.57,20.04,-0.95
NAN,-1.65,0.16
23.79,20.04,0.16
23.71,15.77,0.16
23.75,2.24,0.16
23.75,20.04,0.16
23.71,2.2,0.16
23.75,20.04,0.16
23.75,20.04,-0.95
23.65,20.04,0.44
23.71,12.04,-0.95
